brand,model,variant,fuel_type,body_type,transmission,owner_type,owner_number,kms_driven,model_year,registration_year,engine_displacement,mileage,max_power,torque,color,engine_type,gear_box,drive_type,steering_type,top_speed,acceleration,price,City,car_age
Honda,Honda WR-V,i-VTEC S,Petrol,SUV,Manual,1st Owner,1,70000,2019,2019,1199.0,17.5,88.7,110.0,Silver,i-VTEC Petrol Engine,5 Speed,FWD,Electric,164.0,14.350000000000001,550000.0,Kolkata,6
Maruti,Maruti Swift,VXI,Petrol,Hatchback,Manual,1st Owner,1,10519,2019,2019,1197.0,22.38,88.5,113.0,Silver,K Series Dual jet,5-Speed,,Electric,170.0,12.9,545000.0,Kolkata,6
Hyundai,Hyundai Verna,1.6 SX VTVT (O),Petrol,Sedan,Manual,2nd Owner,2,50000,2014,2014,1591.0,17.1,121.3,154.9,Others,VTVT Petrol Engine,5 Speed,FWD,Power,170.0,12.9,450000.0,Kolkata,11
Maruti,Maruti Celerio,VXI CNG,Cng,Hatchback,Manual,1st Owner,1,19907,2022,2022,998.0,27.984999999999992,55.92,82.1,Others,K10C,5-Speed,,Electric,170.0,12.9,597000.0,Kolkata,3
Maruti,Maruti Swift,VXI,Petrol,Hatchback,Manual,2nd Owner,2,84771,2015,2015,1197.0,22.38,88.5,113.0,Silver,K Series Dual jet,5-Speed,,Electric,170.0,12.9,330000.0,Kolkata,10
Honda,Honda Brio,VX AT,Petrol,Hatchback,Automatic,2nd Owner,2,7000,2015,2015,1198.0,16.5,86.8,109.0,Grey,i-VTEC Engine,5 Speed,FWD,Power,182.5,14.350000000000001,595000.0,Kolkata,10
Honda,Honda City,i-VTEC V,Petrol,Sedan,Manual,1st Owner,1,50000,2017,2017,1497.0,17.4,117.6,145.0,Grey,i VTEC Engine,5 Speed,FWD,Power,182.5,11.549999999999997,500000.0,Kolkata,8
Audi,Audi A6,2.0 TDI Premium Plus,Diesel,Sedan,Automatic,1st Owner,1,52000,2013,2013,1949.5,17.68,174.33,372.5,White,TDI Diesel Engine ,8 Speed,FWD,Power,182.5,11.549999999999997,1075000.0,Kolkata,12
Tata,Tata Nexon,XM S BSVI,Petrol,SUV,Manual,1st Owner,1,15407,2021,2021,1199.0,17.33,118.35,170.0,Foliage,1.2l Turbocharged Revotron Engine,6 Speed,,Electric,170.0,12.9,835000.0,Kolkata,4
Hyundai,Hyundai i10,Magna 1.2,Petrol,Hatchback,Manual,2nd Owner,2,50000,2009,2009,1197.0,20.36,78.9,111.7,Others,Petrol Engine,5 Speed,FWD,Power,170.0,12.9,175000.0,Kolkata,16
Hindustan Motors,Ambassador,Classic Nova Petrol,Petrol,Sedan,Manual,1st Owner,1,80000,2006,2006,1817.0,12.8,75.0,130.0,Blue,In-Line Engine,5 Speed,,Power,154.5,14.350000000000001,495000.0,Kolkata,18
Honda,Honda City,i-VTEC V,Petrol,Sedan,Manual,1st Owner,1,58000,2017,2017,1497.0,17.4,117.6,145.0,Silver,i VTEC Engine,5 Speed,FWD,Power,182.5,11.549999999999997,550000.0,Kolkata,8
Hyundai,Hyundai Verna,SX,Petrol,Sedan,Manual,1st Owner,1,14000,2021,2021,1497.0,17.7,113.18,143.8,Blue,1.5 l MPi petrol,6 Speed,,Electric,170.0,12.9,1025000.0,Kolkata,4
Hyundai,Hyundai Elantra,SX,Petrol,Sedan,Manual,3rd Owner,3,80000,2014,2014,1797.0,16.3,147.5,177.5,Others,Dual VTVT Petrol Engine,6 Speed ,FWD,Power,182.5,12.07,350000.0,Kolkata,11
Hyundai,Hyundai Elantra,2.0 SX Option,Petrol,Sedan,Manual,1st Owner,1,45000,2017,2017,1949.5,14.59,149.92,192.2,Silver,Nu 2.0 MPi Petrol Engine,6 Speed,FWD,Power,182.5,12.9,775000.0,Kolkata,8
Maruti,Maruti Swift Dzire,VXI,Petrol,Sedan,Manual,1st Owner,1,119236,2014,2014,1197.0,22.41,88.5,113.0,Silver,,5 Speed,,Electric,170.0,12.9,306000.0,Kolkata,11
Maruti,Maruti Baleno,1.2 Delta,Petrol,Hatchback,Manual,1st Owner,1,98074,2016,2016,1197.0,21.4,83.1,115.0,Red,VVT Petrol Engine,5 Speed,FWD,Power,180.0,12.36,432000.0,Kolkata,9
Mercedes-Benz,Mercedes-Benz C-Class,C 220 CDI Elegance AT,Diesel,Sedan,Automatic,1st Owner,1,40330,2013,2013,1949.5,14.84,170.0,372.5,White,CDI Blue Efficiency Engin,7 Speed,RWD,Power,182.5,11.549999999999997,1080000.0,Kolkata,12
Maruti,Maruti Swift Dzire,VXI,Petrol,Sedan,Manual,2nd Owner,2,84989,2014,2014,1197.0,22.41,88.5,113.0,Silver,,5 Speed,,Electric,170.0,12.9,314000.0,Kolkata,11
Maruti,Maruti Wagon R,VXI BS IV,Petrol,Hatchback,Manual,2nd Owner,2,72017,2014,2014,998.0,20.51,67.04,90.0,Silver,K10B Petrol Engine,5 Speed,FWD,Power,154.5,14.350000000000001,269000.0,Kolkata,11
